Year,Date,Ridership,Day,Business_day,Holiday,Gas Price,Weather
2014,11/24,671,Monday,1,0,2.708   ,
2014,11/25,690,Tuesday,1,0,2.708   ,
2014,11/26,502,Wednesday,1,0,2.680   ,
2014,11/27,114,Thursday,1,1,2.680   ,
2014,11/28,336,Friday,1,0,2.680   ,
2014,11/29,239,Saturday,0,0,2.680   ,
2014,11/30,167,Sunday,0,0,2.680   ,
2014,12/1,666,Monday,1,0,2.680   ,
2014,12/2,708,Tuesday,1,0,2.680   ,
2014,12/3,740,Wednesday,1,0,2.597   ,
2014,12/4,752,Thursday,1,0,2.597   ,
2014,12/5,711,Friday,1,0,2.597   ,
2014,12/6,268,Saturday,0,0,2.597   ,
2014,12/7,213,Sunday,0,0,2.597   ,
2014,12/8,675,Monday,1,0,2.597   ,
2014,12/9,698,Tuesday,1,0,2.597   ,
2014,12/10,729,Wednesday,1,0,2.493   ,
2014,12/11,726,Thursday,1,0,2.493   ,
2014,12/12,703,Friday,1,0,2.493   ,
2014,12/13,367,Saturday,0,0,2.493   ,
2014,12/14,192,Sunday,0,0,2.493   ,
2014,12/15,677,Monday,1,0,2.493   ,
2014,12/16,658,Tuesday,1,0,2.493   ,
2014,12/17,717,Wednesday,1,0,2.375   ,
2014,12/18,698,Thursday,1,0,2.375   ,
2014,12/19,642,Friday,1,0,2.375   ,
2014,12/20,272,Saturday,0,0,2.375   ,
2014,12/21,184,Sunday,0,0,2.375   ,
2014,12/22,551,Monday,1,0,2.375   ,
2014,12/23,529,Tuesday,1,0,2.375   ,
2014,12/24,320,Wednesday,1,0,2.281  ,
2014,12/25,75,Thursday,1,1,2.281  ,
2014,12/26,255,Friday,1,0,2.281  ,
2014,12/27,254,Saturday,0,0,2.281  ,
2014,12/28,182,Sunday,0,0,2.281  ,
2014,12/29,505,Monday,1,0,2.281  ,
2014,12/30,531,Tuesday,1,0,2.281  ,
2014,12/31,482,Wednesday,1,0,2.281  ,
