Date,Ridership
3/9/2006,717000
3/10/2006,716000
3/11/2006,352000
3/12/2006,222000
3/13/2006,682000
3/14/2006,725000
3/15/2006,722000
3/16/2006,731000
3/17/2006,728000
3/18/2006,298000
3/19/2006,197000
3/20/2006,684000
3/21/2006,704000
3/22/2006,709000
3/23/2006,717000
3/24/2006,729000
3/25/2006,347000
3/26/2006,238000
3/27/2006,699000
3/28/2006,728000
3/29/2006,737000
3/30/2006,756000
3/31/2006,802000
4/1/2006,458000
4/2/2006,358000
4/3/2006,692000
4/4/2006,750000
4/5/2006,748000
4/6/2006,743000
4/7/2006,727000
4/8/2006,322000
4/9/2006,245000
4/10/2006,808000
4/11/2006,760000
4/12/2006,742000
4/13/2006,729000
4/14/2006,690000
4/15/2006,341000
4/16/2006,195000
4/17/2006,658000
4/18/2006,760000
4/19/2006,762000
4/20/2006,777000
4/21/2006,755000
4/22/2006,279000
4/23/2006,204000
4/24/2006,689000
4/25/2006,726000
4/26/2006,722000
4/27/2006,732000
4/28/2006,725000
4/29/2006,300000
4/30/2006,259000
5/1/2006,664000
5/2/2006,712000
5/3/2006,726000
5/4/2006,734000
5/5/2006,736000
5/6/2006,309000
5/7/2006,208000
5/8/2006,650000
5/9/2006,706000
5/10/2006,720000
5/11/2006,697000
5/12/2006,705000
5/13/2006,296000
5/14/2006,154000
5/15/2006,664000
5/16/2006,712000
5/17/2006,727000
5/18/2006,737000
5/19/2006,745000
5/20/2006,368000
5/21/2006,239000
5/22/2006,695000
5/23/2006,734000
5/24/2006,739000
5/25/2006,721000
5/26/2006,677000
5/27/2006,327000
5/28/2006,293000
5/29/2006,246000
5/30/2006,702000
5/31/2006,725000
6/1/2006,736000
6/2/2006,716000
6/3/2006,335000
6/4/2006,210000
6/5/2006,708000
6/6/2006,754000
6/7/2006,760000
6/8/2006,770000
6/9/2006,749000
6/10/2006,344000
6/11/2006,249000
6/12/2006,719000
6/13/2006,781000
6/14/2006,769000
6/15/2006,774000
6/16/2006,777000
6/17/2006,337000
6/18/2006,230000
6/19/2006,695000
6/20/2006,750000
6/21/2006,763000
6/22/2006,750000
6/23/2006,731000
6/24/2006,330000
6/25/2006,197000
6/26/2006,600000
6/27/2006,720000
6/28/2006,751000
6/29/2006,768000
6/30/2006,765000
7/1/2006,342000
7/2/2006,264000
7/3/2006,590000
7/4/2006,443000
7/5/2006,699000
7/6/2006,745000
7/7/2006,762000
7/8/2006,328000
7/9/2006,228000
7/10/2006,725000
7/11/2006,764000
7/12/2006,765000
7/13/2006,763000
7/14/2006,748000
7/15/2006,316000
7/16/2006,214000
7/17/2006,710000
7/18/2006,747000
7/19/2006,764000
7/20/2006,763000
7/21/2006,774000
7/22/2006,332000
7/23/2006,235000
7/24/2006,713000
7/25/2006,771000
7/26/2006,778000
7/27/2006,778000
7/28/2006,745000
7/29/2006,313000
7/30/2006,203000
7/31/2006,686000
8/1/2006,713000
8/2/2006,708000
8/3/2006,714000
8/4/2006,710000
8/5/2006,297000
8/6/2006,200000
8/7/2006,658000
8/8/2006,717000
8/9/2006,710000
8/10/2006,689000
8/11/2006,691000
8/12/2006,320000
8/13/2006,207000
8/14/2006,648000
8/15/2006,692000
8/16/2006,692000
8/17/2006,686000
8/18/2006,658000
8/19/2006,277000
8/20/2006,175000
8/21/2006,626000
8/22/2006,663000
8/23/2006,676000
8/24/2006,666000
8/25/2006,651000
8/26/2006,267000
8/27/2006,172000
8/28/2006,635000
8/29/2006,688000
8/30/2006,675000
8/31/2006,683000
9/1/2006,570000
9/2/2006,247000
9/3/2006,224000
9/4/2006,208000
9/5/2006,631000
9/6/2006,700000
9/7/2006,731000
9/8/2006,705000
9/9/2006,292000
9/10/2006,195000
9/11/2006,677000
9/12/2006,708000
9/13/2006,708000
9/14/2006,699000
9/15/2006,713000
9/16/2006,292000
9/17/2006,199000
9/18/2006,684000
9/19/2006,719000
9/20/2006,731000
9/21/2006,715000
9/22/2006,695000
9/23/2006,276000
9/24/2006,171000
9/25/2006,679000
9/26/2006,718000
9/27/2006,733000
